Input,Target
Una abeja tiene 6 patas. ¿Cuántas patas tienen 8 abejas?,X=(6.0*8.0)
Ellen fue a una venta de garaje para comprar sillas. Cada silla costaba 15 dólares. ¿Cuánto dinero gastó Ellen en las 12 sillas que compró?,X=(15.0*12.0)
"Kimberly tiene 5 caramelos. Ella compra 7 más. Más tarde, Kimberly compra 18 naranjas en la tienda. ¿Cuántos caramelos tiene Kimberly en total?",X=(5.0+7.0)
Joshua tiene 40 tapas de botella. Compra 7 más. ¿Cuántas tapas de botella tiene Joshua en total?,X=(40.0+7.0)
"Ernest tiene 45 bananas que deben ser guardadas en cajas. Julie viene a ayudar y trae 3 galletas para compartir con Ernest. Si hay 5 cajas, ¿cuántos plátanos deben ir en cada caja?",X=(45.0/5.0)
"Jenny vendió 24 cajas de Tréboles. ¿Cuántas cajas de 8 cajas, más las cajas extra que Jenny necesita entregar?",X=(24.0/8.0)
Lino recogió 292 proyectiles a la orilla del mar por la mañana y 324 por la tarde. ¿Cuántos proyectiles recogió en total?,X=(292.0+324.0)
Hay 6 caramelos en una pila en el escritorio. Cada caramelo viene en un paquete de 15. 4 caramelos se añaden al montón. ¿Cuántos caramelos hay en el montón?,X=(6.0+4.0)
Juan corrió 80 millas a 10 millas por hora. ¿Cuánto tiempo corrió Juan?,X=(80.0/10.0)
30 perros están ladrando. 10 perros más empiezan a ladrar. ¿Cuántos perros están ladrando?,X=(30.0+10.0)
"Cada chico tiene 5 tapas de botella. Si hay 9 chicos, ¿Cuantas tapas de botellas hay por todo?",X=(5.0*9.0)
Ernest comienza con 17 creyones. Jennifer se lleva 6. ¿Con cuantos creyones termina Ernest?,X=(17.0-6.0)
Había 58 gansos y 37 patos en el pantano. ¿Cuántos pájaros había en total?,X=(58.0+37.0)
"En una escuela, hay 542 niñas y 387 niños. ¿Cuántos alumnos hay en esa escuela?",X=(542.0+387.0)
Janet tiene 3 stickers. She obtiene 53 mas de Ruth. ¿Cuantos stickers tendra Janet en total?,X=(3.0+53.0)
Había 44 niños y 53 niñas en el patio de recreo en el recreo. ¿Cuántos niños había en el patio en total?,X=(44.0+53.0)
Emily corrió a la casa de Timothy. Son 10 millas desde la casa de Emily hasta la casa de Timothy. A Emily le llevó dos horas llegar allí. ¿Qué tan rápido fue Emily?,X=(10.0/2.0)
Hay 37 canastas. Hay 17 manzanas en cada cesta. ¿Cuántas manzanas hay en total?,X=(37.0*17.0)
La Sra. Hilt y su hermana condujeron a un concierto a 78 millas de distancia. Condujeron 32 millas y luego se detuvieron para cargar gasolina. Su hermana puso 28 galones de gasolina en el coche. ¿Cuántas millas les quedaban por conducir?,X=(78.0-32.0)
José tiene 85 cacahuetes. Kenia tiene 48 más que José. ¿Cuántos cacahuetes tiene Kenia?,X=(85.0+48.0)
George tiene 5 cajas de huevos. Cada caja contiene 3 huevos y hay 9 cajas en un estuche. ¿Cuántos huevos tiene George?,X=(5.0*3.0)
Helen comienza con 9 naranjas. Ella obtiene 29 mas de Ann. ¿Con cuantas naranjas termina Helen?,X=(9.0+29.0)
Larry comienza con 91 cartas. 17 son comidas por un hipopotamo. ¿Con cuantas cartas termina Larry?,X=(91.0-17.0)
William tiene dos tapas de botella. Compra 41 más. ¿Cuántas tapas de botella tiene William en total?,X=(2.0+41.0)
Jane comienza con 87 creyones. 7 son comidos por un hipopotamo. ¿Con cuantos creyones termina Jane?,X=(87.0-7.0)
La Sra. Snyder hizo 86 galletas de corazón. Hizo 36 galletas rojas y el resto son rosas. ¿Cuántas galletas rosas hizo?,X=(86.0-36.0)
"Mi coche hace 20 millas por galón de gasolina. Si la casa de la abuela está a 100 millas, ¿cuántos galones de gasolina se necesitan para llegar a su casa?",X=(100.0/20.0)
